Most Serious Crime Committed by Incarcerated Individual,Count
MURDER 2ND,4111
C POS WEAPON 2ND,2152
MANSLAUGHTER 1ST,2007
ATT C POS WEAP 2ND,1697
ROBBERY 1ST,1423
ATT MURDER 2ND,1196
RAPE 1ST,956
CPCS 3RD,931
ASSAULT 1ST B FELONY,918
"BURGLARY 2ND, SUB 2",871
ASSAULT 2ND,825
BURGLARY 3RD,633
BURGLARY 1ST,616
CSCS 3RD,581
ATT ASSAULT 1ST B FELONY,559
SEX CONDUCT CHILD 1ST,531
CRIM SEX ACT 1ST,500
MURDER 1ST,479
"ATT BURGLARY 2ND, SUB 2",431
ATT ROBBERY 1ST,402
"ROBBERY 2ND, SUB 2,3",384
"CR POS WEAP 3 SUB1,2,3",374
ROBBERY 3RD,350
SEXUAL ABUSE 1ST,290
CONTEMPT 1ST,284
ATT ASSAULT 2ND,265
CPCS 2ND,253
"ROBBERY 2ND, SUB 1",247
PRED SEXUAL ASLT/CHILD,242
CR POSS FIREARM,240
"ATT ROBBERY 2ND, SUB 2,3",225
ATT CPCS 3RD,194
MANSLAUGHTER 2ND,178
ATT RAPE 1ST,170
GRAND LARCEN 4TH,165
RAPE 2ND 2007,164
KIDNAPPING 2ND,145
CPCS 4TH,142
CSCS 2ND,139
"ATT ROBBERY 2ND, SUB 1",134
CPCS 5TH,130
ATT BURGLARY 3RD,122
RAPE 3RD,117
ATT MURDER 1ST,116
CPCS 1ST,113
SODOMY 1ST,112
CONSPIRACY 2ND,107
ATT CSCS 3RD,106
AGG VEHICULAR HOMICD,105
PREDATORY SEXUAL ASLT,95
GRAND LARCEN 3RD,93
ARSON 2ND,86
CRIM SALE FIREARM 1ST,84
ATT ROBBERY 3RD,84
RECK ENDANGER 1ST,83
KIDNAPPING 1ST,82
CRIM SEX ACT 2ND 2007,80
AGG FAMILY OFFENSE,80
"BURGLARY 2ND, SUB 1",78
DRIVE INTOX 2 OFF,76
STRANGULATION 2ND,75
ATT CRIM SEX ACT 1ST,74
ATT BURGLARY 1ST,70
ATT CR POS WEAP 3 SUB1-3,69
MISSING,69
