County of Indictment,Mean Age,Median Age,Min Age,Max Age,Female,Male,Asian,Non-Hispanic Black,Hispanic,Native American,Non-Hispanic White,Other
ALBANY,38.78176527643065,37.0,19.0,75.0,37,994,2,688,120,11,25,185
ALLEGANY,37.97222222222222,35.5,19.0,72.0,4,32,0,2,1,0,0,33
BRONX,40.11698113207547,38.0,18.0,81.0,57,2063,3,986,1034,10,44,43
BROOME,38.273873873873875,37.0,18.0,93.0,36,519,4,195,63,6,4,283
CATTARAUGUS,41.903225806451616,40.0,23.0,77.0,11,82,1,17,9,10,0,56
CAYUGA,36.85377358490566,35.0,20.0,69.0,8,204,2,75,14,0,2,119
CHAUTAUQUA,37.66428571428571,35.0,20.0,71.0,7,133,0,35,22,7,1,75
CHEMUNG,37.611111111111114,35.5,19.0,76.0,16,272,0,123,34,1,7,123
CHENANGO,38.75961538461539,35.5,21.0,71.0,13,91,0,4,6,0,0,94
CLINTON,40.09274193548387,38.5,22.0,75.0,20,228,0,52,19,5,4,168
COLUMBIA,39.41111111111111,37.5,21.0,87.0,6,84,1,22,16,0,5,46
CORTLAND,38.785714285714285,37.5,21.0,78.0,3,81,0,17,4,1,0,62
DELAWARE,41.72727272727273,41.0,21.0,71.0,0,33,0,1,2,0,0,30
DUTCHESS,39.220039292730846,37.0,18.0,76.0,13,496,1,255,91,1,18,143
ERIE,38.98757396449704,37.0,19.0,82.0,72,1618,3,1110,219,18,30,310
ESSEX,41.263888888888886,38.5,21.0,80.0,6,66,0,1,0,0,2,69
FRANKLIN,39.067961165048544,38.0,20.0,72.0,15,88,0,8,5,10,0,80
FULTON,40.09803921568628,39.0,22.0,77.0,9,93,2,21,4,0,0,75
GENESEE,40.04545454545455,39.0,21.0,75.0,12,186,1,70,16,5,6,100
GREENE,41.79220779220779,42.0,20.0,68.0,5,72,0,21,9,0,2,45
HAMILTON,39.0,33.0,30.0,54.0,0,3,0,0,0,0,0,3
HERKIMER,39.858695652173914,39.5,20.0,78.0,10,82,0,14,3,1,0,74
JEFFERSON,39.02415458937198,38.0,20.0,71.0,19,188,0,60,17,1,5,124
KINGS,41.26485987064983,40.0,19.0,86.0,73,3174,29,2177,773,17,81,170
LEWIS,41.145833333333336,38.5,26.0,71.0,3,45,0,4,2,0,0,42
LIVINGSTON,40.736363636363635,40.0,19.0,66.0,8,102,1,19,16,0,2,72
MADISON,41.57142857142857,39.0,19.0,82.0,6,113,0,13,9,2,1,94
MONROE,38.16439688715953,35.0,18.0,89.0,84,1972,14,1389,329,21,24,279
MONTGOMERY,39.620370370370374,37.5,21.0,75.0,4,104,0,18,31,4,1,54
NASSAU,39.9781990521327,38.0,19.0,85.0,29,1026,12,555,302,5,26,155
NEW YORK,42.292653455775735,40.0,18.0,85.0,108,4030,32,2090,1666,32,99,219
NIAGARA,39.41152263374486,37.0,19.0,91.0,21,465,0,228,44,20,8,186
ONEIDA,38.178666666666665,36.0,18.0,78.0,31,719,7,344,111,10,13,265
ONONDAGA,38.32883522727273,36.0,18.0,87.0,45,1363,3,795,214,35,26,335
ONTARIO,40.053061224489795,38.0,18.0,75.0,14,231,1,74,40,0,8,122
ORANGE,38.81481481481482,37.0,19.0,78.0,39,636,0,314,176,3,15,167
ORLEANS,41.5,38.0,22.0,85.0,6,72,0,16,15,1,0,46
OSWEGO,38.6958174904943,37.0,19.0,81.0,15,248,0,21,20,9,2,211
OTSEGO,38.14159292035398,36.0,19.0,76.0,4,109,0,23,8,0,1,81
PUTNAM,40.80769230769231,40.0,21.0,79.0,5,47,0,8,18,1,2,23
QUEENS,40.68410128684101,39.0,18.0,88.0,61,2348,83,1316,754,13,112,131
RENSSELAER,39.265151515151516,37.0,19.0,80.0,13,251,0,117,38,1,7,101
RICHMOND,38.64079422382672,36.0,18.0,80.0,24,530,5,286,149,6,26,82
ROCKLAND,41.55508474576271,39.0,19.0,82.0,3,233,2,99,87,2,10,36
SARATOGA,39.9,38.5,19.0,79.0,23,277,0,53,23,5,8,211
SCHENECTADY,38.63272727272727,38.0,19.0,81.0,23,527,3,311,81,7,33,115
SCHOHARIE,45.130434782608695,46.0,26.0,64.0,0,23,0,1,4,0,1,17
SCHUYLER,38.42857142857143,36.0,23.0,72.0,2,33,0,3,2,0,0,30
SENECA,39.795918367346935,37.0,22.0,83.0,5,44,0,11,3,2,1,32
ST LAWRENCE,38.76335877862596,37.0,19.0,73.0,15,247,0,28,14,8,6,206
STEUBEN,40.072649572649574,37.0,20.0,74.0,21,213,1,31,11,4,6,181
SUFFOLK,40.863896848137536,39.0,18.0,83.0,39,1357,7,578,435,17,29,330
SULLIVAN,40.67829457364341,38.5,19.0,83.0,16,242,2,92,47,5,3,109
TIOGA,40.67142857142857,40.5,21.0,74.0,5,65,0,17,6,1,2,44
TOMPKINS,38.693069306930695,38.0,18.0,69.0,3,98,0,37,4,2,3,55
ULSTER,39.591331269349844,37.0,20.0,70.0,9,314,0,117,70,2,8,126
UNKNOWN,37.48571428571429,37.0,19.0,65.0,1,69,0,3,1,0,57,9
WARREN,41.47802197802198,39.0,21.0,79.0,14,168,1,28,14,3,2,134
WASHINGTON,38.87362637362637,37.0,20.0,76.0,25,157,1,25,14,1,4,137
WAYNE,40.21008403361345,38.0,19.0,72.0,6,113,0,38,9,2,2,68
WESTCHESTER,40.807200929152145,39.0,18.0,84.0,38,823,2,489,270,5,16,79
WYOMING,38.03333333333333,36.0,19.0,76.0,9,81,0,11,6,1,0,72
YATES,38.81132075471698,37.0,22.0,68.0,7,46,0,5,5,1,0,42
