OBJECTID,NAME,ABBREV,GNIS_ID,FIPS_CODE,SWIS,NYSP_ZONE,POP1990,POP2000,POP2010,POP2020,DOS_LL,DOSLL_DATE,NYC,CALC_SQ_MI,DATEMOD,Shape__Area,Shape__Length
1,Albany,ALBA,974099,36001,010000,East,292594,294565,304204,314848,,,N,532.7917788,11/10/17 0:00,2549820523,225767.7554
2,Allegany,ALLE,974100,36003,020000,West,50470,49927,48946,46456,,,N,1035.209131,4/26/19 0:00,4894142847,284462.9645
3,Bronx,BRON,974101,36005,600000,Long Island,1203789,1332650,1385108,1472654,,,Y,57.47214795,10/4/19 0:00,260547044.7,75742.99223
4,Broome,BROO,974102,36007,030000,Central,212160,200536,200600,198683,,,N,715.2874653,4/26/19 0:00,3376132471,307651.8798
5,Cattaraugus,CATT,974103,36009,040000,West,84234,83955,80317,77042,,,N,1324.309219,4/26/19 0:00,6254588356,373112.5898
6,Cayuga,CAYU,974104,36011,050000,Central,82313,81963,80026,76248,,,N,881.8235048,7/18/18 0:00,4277575841,458522.5094
7,Chautauqua,CHAU,974105,36013,060000,West,141895,139750,134905,127657,,,N,1507.794553,4/26/19 0:00,7126670996,334424.7148
8,Chemung,CHEM,974106,36015,070000,Central,95195,91070,88830,84148,,,N,410.9593163,4/26/19 0:00,1937767778,198267.5041
9,Chenango,CHEN,974107,36017,080000,Central,51768,51401,50477,47220,,,N,897.8186439,10/3/18 0:00,4282723130,308026.7034
10,Clinton,CLIN,974108,36019,090000,East,85969,79894,82128,79843,,,N,1116.813729,12/7/18 0:00,5737789826,331297.4602
11,Columbia,COLU,974109,36021,100000,East,62982,63094,63096,61570,,,N,647.9074984,1/22/18 0:00,3066134014,249224.6325
12,Cortland,CORT,974110,36023,110000,Central,48963,48599,49336,46809,,,N,501.1393928,3/9/18 0:00,2397911660,198296.9857
13,Delaware,DELA,974111,36025,120000,East,47225,48055,47980,44308,,,N,1466.340613,5/19/20 0:00,6930068463,382797.3625
14,Dutchess,DUTC,974112,36027,130000,East,259462,280150,297488,295911,,,N,824.4393456,11/8/18 0:00,3843102397,296626.3183
15,Erie,ERIE,974113,36029,140000,West,968532,950265,919040,954236,,,N,1221.970018,10/30/17 0:00,5864981459,446679.358
16,Essex,ESSE,974114,36031,150000,East,37152,38851,39370,37381,,,N,1915.019961,7/24/18 0:00,9630948236,462551.3614
17,Franklin,FRAN,974115,36033,160000,East,46540,51134,51599,47555,,,N,1696.382337,10/4/18 0:00,8671599962,441754.1655
18,Fulton,FULT,974116,36035,170000,East,54191,55073,55531,53324,,,N,532.6218441,11/1/18 0:00,2591762258,241201.2226
19,Genesee,GENE,974117,36037,180000,West,60060,60370,60079,58388,,,N,496.0570478,2/12/18 0:00,2401155870,212353.9405
20,Greene,GREE,974118,36039,190000,East,44739,48195,49221,47931,,,N,657.720079,5/19/20 0:00,3115718218,255227.6274
21,Hamilton,HAMI,974119,36041,200000,East,5279,5379,4836,5107,,,N,1806.21213,11/1/18 0:00,8948527807,452948.0293
22,Herkimer,HERK,974120,36043,210000,East,65797,64427,64519,60139,,,N,1456.420113,2/1/18 0:00,7158948718,538731.4925
23,Jefferson,JEFF,974121,36045,220000,Central,110943,111738,116229,116721,,,N,1753.082977,11/6/18 0:00,8786938691,427892.6701
24,Kings,KING,974122,36047,610000,Long Island,2300664,2465326,2504700,2736074,,,Y,97.14560574,10/4/19 0:00,437605816.4,95546.51629
25,Lewis,LEWI,974123,36049,230000,Central,26796,26944,27087,26582,,,N,1289.733735,11/6/18 0:00,6415955029,354833.3315
26,Livingston,LIVI,974124,36051,240000,West,62372,64328,65393,61834,,,N,640.5015549,9/20/18 0:00,3074490486,323125.1379
