County of Indictment,Mean Age,Median Age,Min Age,Max Age,Female,Male,Asian,Non-Hispanic Black,Hispanic,Native American,Non-Hispanic White,Other,Gender Ratio (Male to Female),Race Ratio (Non-white to White)
ALBANY,38.78176527643065,37.0,19.0,75.0,37.0,994.0,2.0,688.0,120.0,11.0,25.0,185.0,,
ALLEGANY,37.97222222222222,35.5,19.0,72.0,4.0,32.0,0.0,2.0,1.0,0.0,0.0,33.0,,
BRONX,40.11698113207547,38.0,18.0,81.0,57.0,2063.0,3.0,986.0,1034.0,10.0,44.0,43.0,,
BROOME,38.273873873873875,37.0,18.0,93.0,36.0,519.0,4.0,195.0,63.0,6.0,4.0,283.0,,
CATTARAUGUS,41.903225806451616,40.0,23.0,77.0,11.0,82.0,1.0,17.0,9.0,10.0,0.0,56.0,,
CAYUGA,36.85377358490566,35.0,20.0,69.0,8.0,204.0,2.0,75.0,14.0,0.0,2.0,119.0,,
CHAUTAUQUA,37.66428571428571,35.0,20.0,71.0,7.0,133.0,0.0,35.0,22.0,7.0,1.0,75.0,,
CHEMUNG,37.611111111111114,35.5,19.0,76.0,16.0,272.0,0.0,123.0,34.0,1.0,7.0,123.0,,
CHENANGO,38.75961538461539,35.5,21.0,71.0,13.0,91.0,0.0,4.0,6.0,0.0,0.0,94.0,,
CLINTON,40.09274193548387,38.5,22.0,75.0,20.0,228.0,0.0,52.0,19.0,5.0,4.0,168.0,,
COLUMBIA,39.41111111111111,37.5,21.0,87.0,6.0,84.0,1.0,22.0,16.0,0.0,5.0,46.0,,
CORTLAND,38.785714285714285,37.5,21.0,78.0,3.0,81.0,0.0,17.0,4.0,1.0,0.0,62.0,,
DELAWARE,41.72727272727273,41.0,21.0,71.0,0.0,33.0,0.0,1.0,2.0,0.0,0.0,30.0,,
DUTCHESS,39.220039292730846,37.0,18.0,76.0,13.0,496.0,1.0,255.0,91.0,1.0,18.0,143.0,,
ERIE,38.98757396449704,37.0,19.0,82.0,72.0,1618.0,3.0,1110.0,219.0,18.0,30.0,310.0,,
ESSEX,41.263888888888886,38.5,21.0,80.0,6.0,66.0,0.0,1.0,0.0,0.0,2.0,69.0,,
FRANKLIN,39.067961165048544,38.0,20.0,72.0,15.0,88.0,0.0,8.0,5.0,10.0,0.0,80.0,,
FULTON,40.09803921568628,39.0,22.0,77.0,9.0,93.0,2.0,21.0,4.0,0.0,0.0,75.0,,
GENESEE,40.04545454545455,39.0,21.0,75.0,12.0,186.0,1.0,70.0,16.0,5.0,6.0,100.0,,
GREENE,41.79220779220779,42.0,20.0,68.0,5.0,72.0,0.0,21.0,9.0,0.0,2.0,45.0,,
HAMILTON,39.0,33.0,30.0,54.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,,
HERKIMER,39.858695652173914,39.5,20.0,78.0,10.0,82.0,0.0,14.0,3.0,1.0,0.0,74.0,,
JEFFERSON,39.02415458937198,38.0,20.0,71.0,19.0,188.0,0.0,60.0,17.0,1.0,5.0,124.0,,
KINGS,41.26485987064983,40.0,19.0,86.0,73.0,3174.0,29.0,2177.0,773.0,17.0,81.0,170.0,,
LEWIS,41.145833333333336,38.5,26.0,71.0,3.0,45.0,0.0,4.0,2.0,0.0,0.0,42.0,,
LIVINGSTON,40.736363636363635,40.0,19.0,66.0,8.0,102.0,1.0,19.0,16.0,0.0,2.0,72.0,,
MADISON,41.57142857142857,39.0,19.0,82.0,6.0,113.0,0.0,13.0,9.0,2.0,1.0,94.0,,
MONROE,38.16439688715953,35.0,18.0,89.0,84.0,1972.0,14.0,1389.0,329.0,21.0,24.0,279.0,,
MONTGOMERY,39.620370370370374,37.5,21.0,75.0,4.0,104.0,0.0,18.0,31.0,4.0,1.0,54.0,,
NASSAU,39.9781990521327,38.0,19.0,85.0,29.0,1026.0,12.0,555.0,302.0,5.0,26.0,155.0,,
NEW YORK,42.292653455775735,40.0,18.0,85.0,108.0,4030.0,32.0,2090.0,1666.0,32.0,99.0,219.0,,
NIAGARA,39.41152263374486,37.0,19.0,91.0,21.0,465.0,0.0,228.0,44.0,20.0,8.0,186.0,,
ONEIDA,38.178666666666665,36.0,18.0,78.0,31.0,719.0,7.0,344.0,111.0,10.0,13.0,265.0,,
ONONDAGA,38.32883522727273,36.0,18.0,87.0,45.0,1363.0,3.0,795.0,214.0,35.0,26.0,335.0,,
ONTARIO,40.053061224489795,38.0,18.0,75.0,14.0,231.0,1.0,74.0,40.0,0.0,8.0,122.0,,
ORANGE,38.81481481481482,37.0,19.0,78.0,39.0,636.0,0.0,314.0,176.0,3.0,15.0,167.0,,
